code,stock,model,final_nav_mean,final_nav_std,final_nav_min,final_nav_max,total_return_mean,total_return_std,total_return_min,total_return_max,sharpe_mean,sharpe_std,sharpe_min,sharpe_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,total_turnover_mean,total_turnover_std,total_turnover_min,total_turnover_max,average_turnover_mean,average_turnover_std,average_turnover_min,average_turnover_max,trade_count_mean,trade_count_std,trade_count_min,trade_count_max
sh.600519,Kweichow Moutai,A2C (Daily),0.9703207810000002,0.01752268599911442,0.9597905390000001,0.990548523,-0.029679218999999923,0.01752268599911442,-0.04020946099999989,-0.009451477000000041,-0.11288782044746341,0.10905747799252132,-0.17756658137850373,0.013025204381244153,-0.14010880517497706,0.0040379276117103865,-0.14251578740560844,-0.1354470360483555,1.524172534676034,0.3342448650035827,1.190464513501869,1.8589516691555243,0.00632436736380097,0.001386908153541837,0.004939686778016054,0.007713492403134956,7.666666666666667,2.516611478423583,5,10
sh.600519,Kweichow Moutai,Buy&Hold,0.9026275000000001,,0.9026275000000001,0.9026275000000001,-0.09737249999999986,,-0.09737249999999986,-0.09737249999999986,-0.2220359940224802,,-0.2220359940224802,-0.2220359940224802,-0.24795259435630845,,-0.24795259435630845,-0.24795259435630845,,,,,,,,,0.0,,0,0
sh.600519,Kweichow Moutai,GARCH,0.9210480900000001,,0.9210480900000001,0.9210480900000001,-0.0789519099999999,,-0.0789519099999999,-0.0789519099999999,-0.09696359908510323,,-0.09696359908510323,-0.09696359908510323,-0.255729354564062,,-0.255729354564062,-0.255729354564062,,,,,,,,,0.0,,0,0
sh.600519,Kweichow Moutai,PPO (Daily),0.942508537333334,0.04258488782421884,0.8971805640000001,0.9816802130000013,-0.05749146266666605,0.04258488782421884,-0.10281943599999988,-0.0183197869999987,-0.3269419752734113,0.3311429124338593,-0.681611406113504,-0.025862261668177268,-0.16615518112721447,0.012839887056693939,-0.18087978208766675,-0.1572921159934726,20.417138372394856,11.085942610419888,11.016946457461957,32.64222054468894,0.0847184164829662,0.045999761868962194,0.04571347077785044,0.13544489852568026,95.66666666666667,37.22006627255429,61,135
sh.600519,Kweichow Moutai,Transaction-Cost-Aware R-PPO,0.968722756,0.05470617713725605,0.9128363580000001,1.0221669100000002,-0.03127724399999995,0.05470617713725601,-0.08716364199999993,0.02216691000000015,-0.10254211471639015,0.30722993439104845,-0.4004760663037453,0.21320841228838727,-0.1717505190688213,0.04779214058816843,-0.20323195098317726,-0.11675705434846007,2.4530709164334947,1.7478390901522207,0.4940684904108744,3.8528977248970193,0.010178717495574668,0.007252444357478094,0.0020500767236965745,0.01598712748919925,14.0,10.816653826391969,2,23
sh.600585,Conch Cement,A2C (Daily),1.0452355393333335,0.0022900642354799273,1.043721955,1.047870147,0.04523553933333339,0.0022900642354799173,0.04372195500000009,0.04787014700000003,0.35880979304972227,0.011522308142511404,0.3469003816092619,0.3699014262842706,-0.11993031540265464,0.0033251004058731776,-0.12256862228689624,-0.11619542288158502,1.0712490038878346,0.21291465056615141,0.9133474138621145,1.3133958905396135,0.004445016613642467,0.000883463280357475,0.00378982329403367,0.005449775479417484,10.0,3.4641016151377544,8,14
sh.600585,Conch Cement,Buy&Hold,1.0641938700000002,,1.0641938700000002,1.0641938700000002,0.06419387000000021,,0.06419387000000021,0.06419387000000021,0.3592842989897265,,0.3592842989897265,0.3592842989897265,-0.22568344584041022,,-0.22568344584041022,-0.22568344584041022,,,,,,,,,0.0,,0,0
sh.600585,Conch Cement,GARCH,1.0,,1.0,1.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0,0
sh.600585,Conch Cement,PPO (Daily),1.0014059483333337,0.028623853057929385,0.9716596040000006,1.0287567490000007,0.0014059483333338507,0.028623853057929454,-0.02834039599999938,0.028756749000000692,0.08382980060308158,0.19281916390394344,-0.11680631446460661,0.2677426663879459,-0.11892147673598363,0.002743239988253309,-0.12137578440763563,-0.11596006628050626,14.030066135440398,2.7795350170791138,12.362115189762601,17.23875625287944,0.05821604205576928,0.011533340319830346,0.051295083774948555,0.07153010893310971,131.66666666666666,15.947831618540919,121,150
sh.600585,Conch Cement,Transaction-Cost-Aware R-PPO,1.1425271920000002,0.13329378627959584,1.0531033790000002,1.2957276680000003,0.1425271920000002,0.13329378627959584,0.05310337900000017,0.2957276680000003,0.6800721133829866,0.41543669508838155,0.3692202487982035,1.1519091490505278,-0.14430548974038634,0.016489964600642636,-0.1619373688592003,-0.12926407336509638,2.2654088526711216,1.4787402653727657,1.2730166861355316,3.9649507354844236,0.009400036733075193,0.0061358517235384465,0.005282226913425442,0.01645207774059927,17.666666666666668,2.3094010767585034,15,19
sh.600887,Yili Group,A2C (Daily),1.0656874856666665,0.014121560415525038,1.054327058,1.081498049,0.06568748566666656,0.014121560415525059,0.05432705799999993,0.0814980489999999,0.4858483422661908,0.07804633678315781,0.43301084795044303,0.5754919269572295,-0.15013952157639232,0.010786807112336141,-0.16214714996424462,-0.14126902758639925,1.9550538359155525,1.0179280290987014,0.8467913443599694,2.8482914953499208,0.00811225658056246,0.004223767755596273,0.003513657030539292,0.011818636910165646,23.333333333333332,14.84362938547488,7,36
sh.600887,Yili Group,Buy&Hold,1.1131345950000002,,1.1131345950000002,1.1131345950000002,0.11313459500000023,,0.11313459500000023,0.11313459500000023,0.5057739250703788,,0.5057739250703788,0.5057739250703788,-0.26427978128291385,,-0.26427978128291385,-0.26427978128291385,,,,,,,,,0.0,,0,0
sh.600887,Yili Group,GARCH,0.8261352740000018,,0.8261352740000018,0.8261352740000018,-0.17386472599999825,,-0.17386472599999825,-0.17386472599999825,-2.7057960220790997,,-2.7057960220790997,-2.7057960220790997,-0.2022500379999984,,-0.2022500379999984,-0.2022500379999984,,,,,,,,,0.0,,0,0
sh.600887,Yili Group,PPO (Daily),1.0135384563333345,0.048703599925586816,0.9601046720000023,1.0554429640000003,0.013538456333334467,0.048703599925586864,-0.03989532799999773,0.05544296400000026,0.19180978339433033,0.2660240374253074,-0.09758639612614452,0.42570527752978576,-0.17743530189372955,0.035309457731176004,-0.21746358239535557,-0.15070845910727082,20.95324882944578,18.802270482051867,7.421673706958508,42.42270026431634,0.08694294120101982,0.07801771984253886,0.030795326584890075,0.17602780192662382,135.33333333333334,51.39390365922143,88,190
sh.600887,Yili Group,Transaction-Cost-Aware R-PPO,1.1829632866666668,0.07640658643784931,1.10187475,1.2536149190000003,0.18296328666666684,0.07640658643784931,0.1018747499999999,0.2536149190000003,0.8892248899852507,0.18489616624098698,0.6804574352258118,1.032321724519575,-0.15991408338372204,0.012023031682267007,-0.1732079392280249,-0.1498018505073181,5.267182028487866,2.951167006341646,1.859472119015753,6.9756823016936025,0.02185552708916127,0.012245506250380274,0.007715651946123457,0.02894473984105229,23.333333333333332,1.5275252316519463,22,25
sh.601628,China Life,A2C (Daily),1.2565619263333334,0.007698206930806555,1.2491605239999999,1.2645260560000002,0.2565619263333334,0.007698206930806612,0.24916052399999988,0.26452605600000023,1.3086002710596605,0.029700262852784445,1.2886714727128037,1.3427356830555222,-0.09477698378388506,0.005207230527123291,-0.09903020958914932,-0.08896963692595539,1.3786609459893497,0.409161626010742,1.001273793976189,1.8135199934197286,0.005720584838130081,0.0016977660830321247,0.004154663045544353,0.007524979225808003,14.666666666666666,7.371114795831994,9,23
sh.601628,China Life,Buy&Hold,1.5091237450000001,,1.5091237450000001,1.5091237450000001,0.5091237450000001,,0.5091237450000001,0.5091237450000001,1.279159088347513,,1.279159088347513,1.279159088347513,-0.19495443591762784,,-0.19495443591762784,-0.19495443591762784,,,,,,,,,0.0,,0,0
sh.601628,China Life,GARCH,1.1093937370000044,,1.1093937370000044,1.1093937370000044,0.10939373700000443,,0.10939373700000443,0.10939373700000443,0.4928311019380739,,0.4928311019380739,0.4928311019380739,-0.20011202355718904,,-0.20011202355718904,-0.20011202355718904,,,,,,,,,0.0,,0,0
sh.601628,China Life,PPO (Daily),1.1791592896666676,0.05197319089931848,1.1192398010000009,1.2120265640000012,0.17915928966666753,0.05197319089931845,0.11923980100000087,0.2120265640000012,0.9532191627927015,0.23624879845677474,0.7035690528739806,1.1732787269146954,-0.10514062616010648,0.017103652912460875,-0.11813397018492988,-0.0857631660802134,18.49343674105417,2.1351638703687983,16.54385466398547,20.775236596279377,0.07673625203756916,0.008859601121862239,0.06864669985056211,0.08620430122937502,151.0,10.816653826391969,142,163
