model,stocks,avg_final_nav,median_final_nav,avg_total_return,avg_sharpe,avg_max_drawdown,avg_total_turnover,avg_trade_count
Transaction-Cost-Aware R-PPO,8,1.1584549580833337,1.1627452393333335,0.1584549580833336,0.6938274557050941,-0.167923224101373,4.609616796583924,25.125
PPO (Daily),8,1.0005825011666678,1.007472202333334,0.000582501166667861,0.06349482034072942,-0.15658826470725135,24.908504021088813,144.16666666666666
A2C (Daily),8,1.0663003162083335,1.0554615125,0.06630031620833342,0.4155158967370471,-0.132904177194809,2.1351046617081306,23.625
GARCH,8,0.9366231378750021,0.876391514500002,-0.06337686212499796,-0.7088043660990291,-0.19758410286456696,,0.0
Buy&Hold,8,1.1325694615000002,1.0886642325000002,0.13256946150000012,0.45313820450096964,-0.24584199709022414,,0.0
