,R-PPO,PPO,A2C,GARCH
Annual return,0.7885825893837073,0.11111857780369827,0.280221000958925,0.11466294430668644
Cumulative return,0.7437602790000004,0.1060198740000009,0.266490318,0.10939373700000443
Annual volatility,0.3420207622405854,0.1661470827036917,0.2047722937661055,0.3155888818098517
Sharpe ratio,1.8665757972926487,0.7158988148516395,1.3066646425725754,0.4928311019380739
Calmar ratio,6.218004767185642,1.12516907644162,2.839832170092625,0.5729937775274032
Max drawdown,-0.1268224485039485,-0.09875722691838813,-0.09867519774937447,-0.20011202355718902
Sortino ratio,4.658546066289789,1.220761198860604,2.616384909328376,0.544092813006484
