,R-PPO,PPO,A2C,GARCH
Annual return,0.2094129625770318,-0.08995866417502485,0.16442813969011505,-0.17635598185643853
Cumulative return,0.19941692100000008,-0.0862063539999971,0.15671620699999989,-0.16935092799999707
Annual volatility,0.21820694755544706,0.15653588471778826,0.19913491560651497,0.09191726261126268
Sharpe ratio,0.9779875345233268,-0.5246155364268047,0.8618690918609926,-2.0635317736204257
Calmar ratio,1.755237999100319,-0.5072685196321207,1.566824334400639,-1.0028129146784446
Max drawdown,-0.11930744587592704,-0.17733933940995258,-0.104943570303313,-0.17586129902703504
Sortino ratio,1.9049610266741368,-0.872629306308297,1.5406016684090147,-1.3489455516723343
