,R-PPO,PPO,A2C,GARCH
Annual return,-0.15374425081779797,-0.05904964895957654,-0.056581186494669256,-0.08240288781416216
Cumulative return,-0.1475552439999992,-0.056546406999999466,-0.054179549999999965,-0.0789519099999999
Annual volatility,0.14409687095026652,0.15894443247979917,0.1692108126823572,0.3326033547087263
Sharpe ratio,-1.0866989140345371,-0.3046483566458956,-0.2607477150335066,-0.09696359908510324
Calmar ratio,-0.9379781862391264,-0.423515591431764,-0.38742999324373306,-0.32222694166116805
Max drawdown,-0.16391026259815672,-0.13942733196657414,-0.14604234953764642,-0.255729354564062
Sortino ratio,-1.2697977725612408,-0.5663348480518973,-0.5150845640933785,-0.40138212498070175
